Year,Series ID: EMISS.CO2-TOTV-TT-TO-US.A million metric tons CO2
2016,5160.99085
2015,5207.386647
2014,5350.26544
2013,5301.451176
2012,5162.563034
2011,5382.449527
2010,5514.297402
2009,5313.844121
2008,5726.287029
2007,5919.121363
2006,5822.296551
2005,5893.552285
2004,5873.565342
2003,5777.692218
2002,5725.245815
2001,5685.468162
2000,5797.902868
1999,5606.000407
1998,5562.034442
1997,5540.323209
1996,5453.25905
1995,5268.504798
1994,5207.495855
1993,5133.153584
1992,5015.360229
1991,4940.382389
1990,4986.998273
1989,5022.582146
1988,4945.244594
1987,4716.745023
1986,4569.640248
1985,4566.098059
1984,4565.449871
1983,4361.64536
1982,4377.203602
1981,4620.363885
1980,4768.019214