Year,Series ID: EMISS.CO2-TOTV-TT-NG-US.A million metric tons CO2
2016,1494.509337
2015,1481.281198
2014,1438.30018
2013,1408.296876
2012,1370.834456
2011,1311.648015
2010,1291.448195
2009,1233.42741
2008,1254.483604
2007,1245.904852
2006,1169.549389
2005,1183.363023
2004,1201.121687
2003,1195.68131
2002,1231.704914
2001,1190.928922
2000,1245.714549
1999,1198.665764
1998,1197.087302
1997,1222.278805
1996,1210.757419
1995,1188.497391
1994,1138.073025
1993,1112.966163
1992,1085.072517
1991,1048.98639
1990,1027.964036
1989,1026.99991
1988,967.991363
1987,925.764594
1986,871.076334
1985,929.396953
1984,964.828649
1983,903.244251
1982,964.243558
1981,1035.331886
1980,1060.590705