Month,Series ID: NG.N9040US2.M Million Cubic Feet
Feb 2019,
Jan 2019,
Dec 2018,
Nov 2018,
Oct 2018,
Sep 2018,
Aug 2018,
Jul 2018,
Jun 2018,
May 2018,
Apr 2018,
Mar 2018,
Feb 2018,
Jan 2018,
Dec 2017,22899
Nov 2017,19481
Oct 2017,23267
Sep 2017,24734
Aug 2017,21724
Jul 2017,18673
Jun 2017,20712
May 2017,17615
Apr 2017,14892
Mar 2017,15598
Feb 2017,15239
Jan 2017,20735
Dec 2016,16350
Nov 2016,15007
Oct 2016,17095
Sep 2016,15395
Aug 2016,17534
Jul 2016,19927
Jun 2016,16990
May 2016,16979
Apr 2016,17610
Mar 2016,18621
Feb 2016,17337
Jan 2016,20556
Dec 2015,22345
Nov 2015,19237
Oct 2015,20269
Sep 2015,22169
Aug 2015,27021
Jul 2015,27051
Jun 2015,25425
May 2015,26874
Apr 2015,24770
Mar 2015,24856
Feb 2015,21994
Jan 2015,27532
Dec 2014,23307
Nov 2014,23795
Oct 2014,22330
Sep 2014,24072
Aug 2014,26048
Jul 2014,25005
Jun 2014,25208
May 2014,26126
Apr 2014,23614
Mar 2014,24807
Feb 2014,24634
Jan 2014,24969
Dec 2013,21769
Nov 2013,21781
Oct 2013,21689
Sep 2013,21702
Aug 2013,23442
Jul 2013,23186
Jun 2013,20903
May 2013,22324
Apr 2013,20483
Mar 2013,21217
Feb 2013,21092
Jan 2013,20803
Dec 2012,17503
Nov 2012,15870
Oct 2012,18179
Sep 2012,17840
Aug 2012,17412
Jul 2012,21235
Jun 2012,18832
May 2012,17488
Apr 2012,18334
Mar 2012,17388
Feb 2012,16603
Jan 2012,16162
Dec 2011,18745
Nov 2011,17885
Oct 2011,21650
Sep 2011,16586
Aug 2011,15806
Jul 2011,16786
Jun 2011,15925
May 2011,15913
Apr 2011,13497
Mar 2011,14315
Feb 2011,20393
Jan 2011,21936
Dec 2010,15292
Nov 2010,14122
Oct 2010,13474
Sep 2010,13151
Aug 2010,15026
Jul 2010,13969
Jun 2010,13060
May 2010,14222
Apr 2010,15194
Mar 2010,13244
Feb 2010,12082
Jan 2010,13091
Dec 2009,13396
Nov 2009,14465
Oct 2009,13082
Sep 2009,12392
Aug 2009,13776
Jul 2009,13793
Jun 2009,14293
May 2009,14649
Apr 2009,13960
Mar 2009,14202
Feb 2009,12991
Jan 2009,14361
Dec 2008,15712
Nov 2008,14402
Oct 2008,15794
Sep 2008,14736
Aug 2008,14281
Jul 2008,14161
Jun 2008,13391
May 2008,12449
Apr 2008,12626
Mar 2008,13094
Feb 2008,13663
Jan 2008,12599
Dec 2007,11883
Nov 2007,11794
Oct 2007,11034
Sep 2007,11480
Aug 2007,12145
Jul 2007,13195
Jun 2007,12445
May 2007,12070
Apr 2007,12923
Mar 2007,12849
Feb 2007,10473
Jan 2007,11165
Dec 2006,11124
Nov 2006,11291
Oct 2006,12225
Sep 2006,11080
Aug 2006,9951
Jul 2006,11821
Jun 2006,11433
May 2006,10459
Apr 2006,10366
Mar 2006,10389
Feb 2006,9479
Jan 2006,9851
Dec 2005,10445
Nov 2005,9510
Oct 2005,10197
Sep 2005,9728
Aug 2005,10049
Jul 2005,10437
Jun 2005,10384
May 2005,10253
Apr 2005,8671
Mar 2005,9417
Feb 2005,8965
Jan 2005,11040
Dec 2004,7970
Nov 2004,9015
Oct 2004,8800
Sep 2004,8037
Aug 2004,7971
Jul 2004,8474
Jun 2004,8062
May 2004,7371
Apr 2004,8001
Mar 2004,7921
Feb 2004,7030
Jan 2004,7759
Dec 2003,7706
Nov 2003,7353
Oct 2003,7977
Sep 2003,7947
Aug 2003,8030
Jul 2003,7431
Jun 2003,8384
May 2003,8978
Apr 2003,8731
Mar 2003,9114
Feb 2003,7713
Jan 2003,8748
Dec 2002,9781
Nov 2002,8225
Oct 2002,7592
Sep 2002,7863
Aug 2002,9026
Jul 2002,8219
Jun 2002,8007
May 2002,8425
Apr 2002,7703
Mar 2002,8483
Feb 2002,7298
Jan 2002,8557
Dec 2001,7472
Nov 2001,7803
Oct 2001,8053
Sep 2001,8218
Aug 2001,8596
Jul 2001,7775
Jun 2001,7797
May 2001,8523
Apr 2001,8736
Mar 2001,7675
Feb 2001,6979
Jan 2001,9285
Dec 2000,6482
Nov 2000,6903
Oct 2000,7821
Sep 2000,7242
Aug 2000,6841
Jul 2000,10021
Jun 2000,7413
May 2000,7049
Apr 2000,8616
Mar 2000,6725
Feb 2000,9132
Jan 2000,6987
Dec 1999,8281
Nov 1999,7519
Oct 1999,8931
Sep 1999,9455
Aug 1999,8425
Jul 1999,9196
Jun 1999,9045
May 1999,10487
Apr 1999,9769
Mar 1999,9297
Feb 1999,9233
Jan 1999,10645
Dec 1998,8482
Nov 1998,7971
Oct 1998,8627
Sep 1998,9300
Aug 1998,9543
Jul 1998,9683
Jun 1998,7932
May 1998,9112
Apr 1998,8107
Mar 1998,7875
Feb 1998,7632
Jan 1998,8754
Dec 1997,21872
Nov 1997,19095
Oct 1997,20085
Sep 1997,20898
Aug 1997,20576
Jul 1997,22961
Jun 1997,18500
May 1997,21728
Apr 1997,21622
Mar 1997,22643
Feb 1997,21816
Jan 1997,24556
Dec 1996,23008
Nov 1996,22836
Oct 1996,23059
Sep 1996,21908
Aug 1996,23538
Jul 1996,23859
Jun 1996,15764
May 1996,23028
Apr 1996,22434
Mar 1996,22649
Feb 1996,24250
Jan 1996,25783
Dec 1995,26281
Nov 1995,24143
Oct 1995,25107
Sep 1995,24856
Aug 1995,22339
Jul 1995,26315
Jun 1995,27956
May 1995,24045
Apr 1995,21011
Mar 1995,20013
Feb 1995,20230
Jan 1995,21444
Dec 1994,18914
Nov 1994,18073
Oct 1994,19043
Sep 1994,19517
Aug 1994,18154
Jul 1994,19132
Jun 1994,21125
May 1994,18270
Apr 1994,18367
Mar 1994,19042
Feb 1994,19470
Jan 1994,19228
Dec 1993,19089
Nov 1993,17369
Oct 1993,19266
Sep 1993,18378
Aug 1993,15803
Jul 1993,19512
Jun 1993,22107
May 1993,20021
Apr 1993,19009
Mar 1993,17977
Feb 1993,19453
Jan 1993,18757
Dec 1992,13832
Nov 1992,13922
Oct 1992,13468
Sep 1992,15102
Aug 1992,15109
Jul 1992,15863
Jun 1992,14800
May 1992,12085
Apr 1992,12893
Mar 1992,13584
Feb 1992,12656
Jan 1992,14205
Dec 1991,14686
Nov 1991,15082
Oct 1991,15033
Sep 1991,14027
Aug 1991,15281
Jul 1991,15545
Jun 1991,13935
May 1991,14992
Apr 1991,13665
Mar 1991,13235
Feb 1991,11517
Jan 1991,11200
Dec 1990,14465
Nov 1990,13288
Oct 1990,13328
Sep 1990,12921
Aug 1990,14187
Jul 1990,12503
Jun 1990,9336
May 1990,13027
Apr 1990,11096
Mar 1990,11439
Feb 1990,10225
Jan 1990,14600
Dec 1989,11886
Nov 1989,11886
Oct 1989,11886
Sep 1989,11886
Aug 1989,11886
Jul 1989,11886
Jun 1989,11886
May 1989,11886
Apr 1989,11886
Mar 1989,12877
Feb 1989,10896
Jan 1989,10896
Dec 1988,10887
Nov 1988,11877
Oct 1988,11877
Sep 1988,11877
Aug 1988,11877
Jul 1988,12867
Jun 1988,11877
May 1988,11877
Apr 1988,11877
Mar 1988,11877
Feb 1988,11877
Jan 1988,11877
Dec 1987,11876
Nov 1987,8907
Oct 1987,9897
Sep 1987,9897
Aug 1987,10886
Jul 1987,11876
Jun 1987,8907
May 1987,9897
Apr 1987,9897
Mar 1987,9897
Feb 1987,8907
Jan 1987,12866
Dec 1986,8966
Nov 1986,8966
Oct 1986,7970
Sep 1986,6974
Aug 1986,7970
Jul 1986,7970
Jun 1986,7970
May 1986,7970
Apr 1986,7970
Mar 1986,7970
Feb 1986,7970
Jan 1986,8966
Dec 1985,8066
Nov 1985,8066
Oct 1985,8066
Sep 1985,8066
Aug 1985,8066
Jul 1985,8066
Jun 1985,8066
May 1985,8066
Apr 1985,8066
Mar 1985,7058
Feb 1985,7058
Jan 1985,8066
Dec 1984,7994
Nov 1984,9992
Oct 1984,8993
Sep 1984,8993
Aug 1984,8993
Jul 1984,9992
Jun 1984,8993
May 1984,8993
Apr 1984,8993
Mar 1984,8993
Feb 1984,7994
Jan 1984,8993
Dec 1983,7997
Nov 1983,8996
Oct 1983,7997
Sep 1983,7997
Aug 1983,7997
Jul 1983,7997
Jun 1983,6997
May 1983,8996
Apr 1983,7997
Mar 1983,7997
Feb 1983,6997
Jan 1983,6997
Dec 1982,10000
Nov 1982,9000
Oct 1982,8000
Sep 1982,6000
Aug 1982,8000
Jul 1982,7000
Jun 1982,7000
May 1982,7000
Apr 1982,7000
Mar 1982,7000
Feb 1982,8000
Jan 1982,9000
Dec 1981,8000
Nov 1981,6000
Oct 1981,7000
Sep 1981,7000
Aug 1981,10000
Jul 1981,9000
Jun 1981,8000
May 1981,7000
Apr 1981,8000
Mar 1981,9000
Feb 1981,10000
Jan 1981,10000
Dec 1980,11000
Nov 1980,10000
Oct 1980,10000
Sep 1980,12000
Aug 1980,10000
Jul 1980,9000
Jun 1980,9000
May 1980,11000
Apr 1980,10000
Mar 1980,10000
Feb 1980,10000
Jan 1980,12000
Dec 1979,
Nov 1979,
Oct 1979,
Sep 1979,
Aug 1979,
Jul 1979,
Jun 1979,
May 1979,
Apr 1979,
Mar 1979,
Feb 1979,
Jan 1979,
Dec 1978,
Nov 1978,
Oct 1978,
Sep 1978,
Aug 1978,
Jul 1978,
Jun 1978,
May 1978,
Apr 1978,
Mar 1978,
Feb 1978,
Jan 1978,
Dec 1977,
Nov 1977,
Oct 1977,
Sep 1977,
Aug 1977,
Jul 1977,
Jun 1977,
May 1977,
Apr 1977,
Mar 1977,
Feb 1977,
Jan 1977,
Dec 1976,
Nov 1976,
Oct 1976,
Sep 1976,
Aug 1976,
Jul 1976,
Jun 1976,
May 1976,
Apr 1976,
Mar 1976,
Feb 1976,
Jan 1976,
Dec 1975,
Nov 1975,
Oct 1975,
Sep 1975,
Aug 1975,
Jul 1975,
Jun 1975,
May 1975,
Apr 1975,
Mar 1975,
Feb 1975,
Jan 1975,
Dec 1974,
Nov 1974,
Oct 1974,
Sep 1974,
Aug 1974,
Jul 1974,
Jun 1974,
May 1974,
Apr 1974,
Mar 1974,
Feb 1974,
Jan 1974,
Dec 1973,
Nov 1973,
Oct 1973,
Sep 1973,
Aug 1973,
Jul 1973,
Jun 1973,
May 1973,
Apr 1973,
Mar 1973,
Feb 1973,
Jan 1973,